Date,Submitter,Ticket ID,Ticket Category,First Response Time Minutes,First Resolution Time Minutes,Full Resolution Time Minutes,Satisfaction Score
23/1/2024,Customer_141,TCK101103,Account,140,513,2353,Good
23/1/2024,Customer_258,TCK103625,Complaint,49,1209,3349,Good
23/1/2024,Customer_718,TCK103345,Technical,152,536,1343,Good
24/1/2024,Customer_491,TCK101878,Billing,95,1341,4183,Good
25/1/2024,Customer_335,TCK101163,Billing,186,978,3360,Good
25/1/2024,Customer_797,TCK101381,General Inquiry,108,312,2620,Bad
25/1/2024,Customer_612,TCK103858,Service Request,142,53,2392,Good
25/1/2024,Customer_375,TCK103553,Billing,162,1000,3154,Bad
25/1/2024,Customer_388,TCK100904,Technical,58,766,3085,Good
25/1/2024,Customer_750,TCK104356,Technical,111,806,3090,Bad
25/1/2024,Customer_273,TCK100576,General Inquiry,132,942,2246,Good
25/1/2024,Customer_459,TCK102367,General Inquiry,21,903,2271,Good
26/1/2024,Customer_21,TCK103857,Technical,49,1171,3246,Good
26/1/2024,Customer_485,TCK102921,General Inquiry,18,177,3600,Good
26/1/2024,Customer_383,TCK102166,Billing,73,450,465,Bad
26/1/2024,Customer_678,TCK100859,Technical,1,326,2362,Good
26/1/2024,Customer_103,TCK100964,Billing,215,1156,2592,Good
26/1/2024,Customer_575,TCK103173,Service Request,62,525,3898,Good
27/1/2024,Customer_754,TCK100326,Service Request,188,182,2480,Bad
27/1/2024,Customer_611,TCK103608,Complaint,62,105,2803,Good
27/1/2024,Customer_614,TCK101740,Account,37,943,3547,Good
27/1/2024,Customer_356,TCK101321,General Inquiry,102,887,4274,Good
28/1/2024,Customer_314,TCK100115,Account,167,1122,1435,Bad
28/1/2024,Customer_590,TCK100872,Complaint,66,590,3277,Bad
28/1/2024,Customer_355,TCK101928,Complaint,111,61,2094,Good
28/1/2024,Customer_570,TCK100892,General Inquiry,159,33,248,Good
28/1/2024,Customer_402,TCK102870,General Inquiry,115,423,1342,Good
28/1/2024,Customer_514,TCK100162,Account,7,750,37,Good
28/1/2024,Customer_67,TCK103741,Service Request,27,481,2565,Good
29/1/2024,Customer_412,TCK101687,General Inquiry,51,42,4031,Good
29/1/2024,Customer_661,TCK100611,Billing,163,1217,1498,Bad
29/1/2024,Customer_156,TCK101302,Billing,185,1355,1154,Bad
29/1/2024,Customer_263,TCK101476,Account,39,168,2295,Good
29/1/2024,Customer_124,TCK101124,Technical,206,456,688,Good
29/1/2024,Customer_710,TCK101342,Service Request,21,401,1681,Good
29/1/2024,Customer_226,TCK102495,Account,1,1006,1661,Bad
29/1/2024,Customer_606,TCK104278,General Inquiry,27,1215,4033,Bad
30/1/2024,Customer_199,TCK102643,General Inquiry,189,288,2496,Bad
30/1/2024,Customer_701,TCK103642,General Inquiry,8,982,3915,Bad
30/1/2024,Customer_158,TCK103336,General Inquiry,8,65,2854,Good
31/1/2024,Customer_554,TCK103727,General Inquiry,49,1361,103,Good
31/1/2024,Customer_674,TCK103381,Complaint,120,287,3704,Good
31/1/2024,Customer_509,TCK103622,Complaint,46,272,3028,Good
31/1/2024,Customer_599,TCK101620,Billing,177,1014,2157,Good
1/2/2024,Customer_181,TCK101193,Complaint,81,475,4177,Bad
1/2/2024,Customer_5,TCK102903,Account,162,88,2847,Bad
1/2/2024,Customer_131,TCK104134,Billing,232,65,2832,Bad
2/2/2024,Customer_355,TCK100118,General Inquiry,38,459,3482,Bad
2/2/2024,Customer_58,TCK104254,Billing,109,204,526,Good
2/2/2024,Customer_343,TCK100313,General Inquiry,115,386,2859,Good
2/2/2024,Customer_178,TCK103800,Technical,129,562,4025,Good
2/2/2024,Customer_224,TCK101688,General Inquiry,106,266,4229,Good
3/2/2024,Customer_332,TCK101312,Technical,114,513,3480,Good
3/2/2024,Customer_87,TCK100761,Service Request,155,1386,152,Bad
3/2/2024,Customer_491,TCK100915,Complaint,200,790,1924,Good
4/2/2024,Customer_743,TCK103156,General Inquiry,39,1090,1398,Good
4/2/2024,Customer_376,TCK103408,Account,6,983,3777,Good
4/2/2024,Customer_297,TCK103143,Service Request,8,198,517,Good
4/2/2024,Customer_551,TCK100516,Complaint,106,1008,2297,Good
4/2/2024,Customer_646,TCK101870,Billing,198,947,2617,Good
4/2/2024,Customer_479,TCK101978,Service Request,147,802,1014,Bad
4/2/2024,Customer_716,TCK100062,General Inquiry,91,484,3062,Good
5/2/2024,Customer_386,TCK100151,Billing,100,1139,3989,Bad
5/2/2024,Customer_209,TCK102233,General Inquiry,54,1245,1525,Bad
5/2/2024,Customer_734,TCK100387,Complaint,178,362,4006,Good
5/2/2024,Customer_1,TCK102152,Complaint,226,1005,176,Good
6/2/2024,Customer_748,TCK101660,Account,36,511,2373,Good
6/2/2024,Customer_68,TCK100272,Service Request,126,978,2083,Bad
6/2/2024,Customer_611,TCK100545,Billing,168,508,3201,Bad
6/2/2024,Customer_756,TCK101580,Billing,93,655,2628,Good
6/2/2024,Customer_90,TCK100348,Technical,182,170,1228,Good
7/2/2024,Customer_413,TCK104479,General Inquiry,156,1235,3518,Bad
7/2/2024,Customer_457,TCK101574,Technical,182,492,2723,Good
7/2/2024,Customer_180,TCK102703,Complaint,145,672,998,Good
7/2/2024,Customer_246,TCK104107,Complaint,171,530,56,Good
7/2/2024,Customer_260,TCK100320,Technical,22,1439,3642,Good
8/2/2024,Customer_326,TCK101382,Complaint,65,414,1978,Bad
8/2/2024,Customer_29,TCK103962,Technical,84,869,1352,Good
8/2/2024,Customer_379,TCK102145,Service Request,179,1145,1663,Good
8/2/2024,Customer_551,TCK101453,Account,225,1184,1153,Bad
8/2/2024,Customer_494,TCK101049,Complaint,6,254,950,Bad
8/2/2024,Customer_217,TCK100894,Technical,40,324,3463,Bad
8/2/2024,Customer_686,TCK102597,Technical,156,761,2318,Good
8/2/2024,Customer_465,TCK100380,General Inquiry,209,147,836,Good
8/2/2024,Customer_753,TCK104519,General Inquiry,213,445,1882,Good
8/2/2024,Customer_66,TCK104397,Complaint,52,585,1260,Good
8/2/2024,Customer_328,TCK100583,Complaint,45,1114,208,Bad
8/2/2024,Customer_53,TCK101701,Service Request,49,455,3564,Good
8/2/2024,Customer_79,TCK101996,Billing,97,1396,1034,Good
8/2/2024,Customer_720,TCK100635,Technical,205,977,2157,Bad
8/2/2024,Customer_376,TCK101475,Complaint,40,830,403,Good
9/2/2024,Customer_31,TCK101594,Billing,15,56,825,Good
9/2/2024,Customer_260,TCK101595,Billing,53,829,1600,Good
9/2/2024,Customer_730,TCK101568,Complaint,184,658,3659,Good
9/2/2024,Customer_496,TCK102962,Technical,179,431,4167,Good
9/2/2024,Customer_412,TCK104074,Service Request,178,583,2847,Good
9/2/2024,Customer_658,TCK101585,Technical,178,62,1279,Good
9/2/2024,Customer_284,TCK100946,Complaint,25,1231,2766,Bad
10/2/2024,Customer_420,TCK103126,Billing,64,1000,2893,Good
10/2/2024,Customer_288,TCK104392,Account,124,409,1917,Bad
10/2/2024,Customer_699,TCK104028,Service Request,77,394,1583,Bad
10/2/2024,Customer_194,TCK103343,Billing,144,1234,4008,Good
10/2/2024,Customer_414,TCK100094,General Inquiry,51,305,2711,Good
10/2/2024,Customer_215,TCK103027,Service Request,227,1058,3731,Good
10/2/2024,Customer_314,TCK101311,Complaint,36,536,3390,Bad
10/2/2024,Customer_288,TCK103288,Account,196,345,897,Good
10/2/2024,Customer_228,TCK100702,Billing,26,167,655,Good
10/2/2024,Customer_703,TCK103239,Technical,162,907,747,Good
10/2/2024,Customer_480,TCK100114,Account,155,385,3378,Bad
11/2/2024,Customer_791,TCK101030,General Inquiry,154,621,2936,Good
11/2/2024,Customer_201,TCK101380,General Inquiry,81,1279,3143,Good
11/2/2024,Customer_506,TCK102335,General Inquiry,34,82,1419,Good
11/2/2024,Customer_474,TCK100586,General Inquiry,119,502,141,Bad
11/2/2024,Customer_674,TCK101309,Complaint,183,1355,2960,Good
12/2/2024,Customer_228,TCK104390,Technical,174,1389,2595,Good
12/2/2024,Customer_56,TCK100813,Complaint,63,1138,2364,Bad
12/2/2024,Customer_440,TCK102387,Technical,45,1115,1553,Good
12/2/2024,Customer_187,TCK102516,Complaint,7,665,4311,Good
12/2/2024,Customer_488,TCK100507,General Inquiry,129,1378,3564,Good
12/2/2024,Customer_622,TCK102871,Complaint,197,18,2055,Good
12/2/2024,Customer_155,TCK102102,Service Request,228,827,1064,Bad
12/2/2024,Customer_768,TCK104195,Service Request,111,40,3335,Good
13/2/2024,Customer_209,TCK103760,Technical,105,1070,2063,Good
13/2/2024,Customer_608,TCK101394,Account,39,645,2728,Bad
13/2/2024,Customer_88,TCK102925,Account,76,996,560,Good
13/2/2024,Customer_144,TCK102629,Technical,56,37,2576,Bad
13/2/2024,Customer_62,TCK103969,Technical,65,560,1537,Bad
14/2/2024,Customer_416,TCK104542,Account,168,236,38,Bad
14/2/2024,Customer_333,TCK103821,Billing,79,788,1371,Bad
14/2/2024,Customer_182,TCK103581,General Inquiry,147,1368,815,Good
15/2/2024,Customer_524,TCK101638,Service Request,15,1394,4060,Bad
15/2/2024,Customer_596,TCK104369,Billing,79,255,1013,Good
15/2/2024,Customer_68,TCK101789,Billing,238,1167,4159,Good
15/2/2024,Customer_588,TCK100843,Billing,105,669,4261,Good
15/2/2024,Customer_166,TCK100344,Service Request,73,468,2110,Bad
16/2/2024,Customer_439,TCK100466,Billing,19,1153,4053,Good
16/2/2024,Customer_567,TCK104403,Complaint,205,1322,1080,Good
16/2/2024,Customer_522,TCK102755,Service Request,157,383,337,Good
16/2/2024,Customer_149,TCK100674,General Inquiry,181,102,2892,Bad
16/2/2024,Customer_207,TCK103045,Service Request,106,662,3638,Bad
16/2/2024,Customer_385,TCK100849,Billing,227,1107,664,Good
16/2/2024,Customer_239,TCK101087,Billing,214,1431,1287,Good
16/2/2024,Customer_695,TCK104123,Billing,228,1077,2016,Good
16/2/2024,Customer_60,TCK100423,Billing,44,518,1246,Good
16/2/2024,Customer_475,TCK101419,Service Request,146,1316,3086,Good
16/2/2024,Customer_507,TCK101536,Complaint,39,28,1818,Good
17/2/2024,Customer_335,TCK100856,Account,211,392,3320,Good
17/2/2024,Customer_485,TCK100119,General Inquiry,85,903,3926,Good
17/2/2024,Customer_326,TCK103508,Account,86,959,3758,Good
18/2/2024,Customer_103,TCK103755,Service Request,113,1003,812,Good
18/2/2024,Customer_73,TCK103871,Service Request,18,370,1735,Bad
18/2/2024,Customer_43,TCK100337,Account,45,1236,3704,Good
18/2/2024,Customer_446,TCK102176,Complaint,96,1030,4205,Bad
18/2/2024,Customer_639,TCK103219,Service Request,172,1057,2618,Bad
18/2/2024,Customer_652,TCK102781,Technical,122,394,3382,Good
18/2/2024,Customer_766,TCK103319,Account,226,1052,3006,Good
18/2/2024,Customer_300,TCK101175,Account,108,232,863,Good
19/2/2024,Customer_447,TCK102180,Account,206,1100,2491,Good
19/2/2024,Customer_157,TCK103920,Complaint,10,108,4102,Good
19/2/2024,Customer_692,TCK104256,Billing,72,505,2895,Good
19/2/2024,Customer_19,TCK102769,Account,150,437,786,Good
20/2/2024,Customer_195,TCK101234,Account,155,569,1454,Bad
20/2/2024,Customer_180,TCK101123,Service Request,175,168,191,Good
20/2/2024,Customer_523,TCK100399,Complaint,209,219,3594,Good
20/2/2024,Customer_383,TCK102116,Account,167,145,2496,Good
20/2/2024,Customer_438,TCK100830,Technical,68,798,1277,Good
20/2/2024,Customer_162,TCK100755,Technical,135,1376,365,Good
21/2/2024,Customer_86,TCK104502,Account,180,389,402,Good
22/2/2024,Customer_236,TCK100416,Service Request,192,1242,982,Good
22/2/2024,Customer_151,TCK102037,Service Request,149,819,4187,Good
22/2/2024,Customer_763,TCK103761,Service Request,233,116,286,Good
22/2/2024,Customer_387,TCK103639,Technical,69,1324,2628,Good
22/2/2024,Customer_51,TCK103618,Account,117,210,1523,Good
22/2/2024,Customer_237,TCK100809,Technical,100,1048,4319,Bad
22/2/2024,Customer_77,TCK100220,Complaint,2,1075,3549,Good
22/2/2024,Customer_572,TCK100089,Service Request,224,83,3344,Good
22/2/2024,Customer_322,TCK101274,Account,92,585,616,Good
23/2/2024,Customer_276,TCK100282,Account,180,1374,3269,Bad
23/2/2024,Customer_628,TCK100773,Service Request,86,33,1164,Good
23/2/2024,Customer_296,TCK101230,Billing,211,1361,1779,Good
23/2/2024,Customer_618,TCK101535,Service Request,208,1351,3844,Good
23/2/2024,Customer_84,TCK100412,Account,13,1393,583,Good
23/2/2024,Customer_445,TCK104376,Service Request,223,223,2445,Bad
23/2/2024,Customer_368,TCK103757,Billing,61,888,3361,Good
24/2/2024,Customer_215,TCK103801,Account,27,455,4307,Bad
24/2/2024,Customer_721,TCK101215,Technical,47,1183,3388,Good
24/2/2024,Customer_618,TCK101221,Service Request,212,137,4130,Bad
24/2/2024,Customer_401,TCK101353,Billing,119,353,3569,Good
24/2/2024,Customer_619,TCK102717,General Inquiry,105,679,2969,Good
24/2/2024,Customer_157,TCK102279,Service Request,210,851,223,Good
25/2/2024,Customer_694,TCK100853,Billing,196,21,298,Good
25/2/2024,Customer_653,TCK100868,Billing,140,563,705,Bad
25/2/2024,Customer_61,TCK102401,Account,179,412,866,Good
26/2/2024,Customer_161,TCK102886,Complaint,14,263,2707,Bad
26/2/2024,Customer_688,TCK103539,Billing,31,788,4217,Good
26/2/2024,Customer_246,TCK102705,Complaint,26,584,466,Good
27/2/2024,Customer_86,TCK100434,Complaint,157,1408,1368,Good
27/2/2024,Customer_72,TCK100642,Technical,88,525,38,Good
27/2/2024,Customer_597,TCK104021,General Inquiry,32,458,706,Good
27/2/2024,Customer_471,TCK100441,Technical,73,873,3877,Good
27/2/2024,Customer_733,TCK100658,Technical,221,1310,3683,Good
27/2/2024,Customer_130,TCK102254,Account,173,1231,194,Good
27/2/2024,Customer_589,TCK102920,Billing,58,810,2868,Good
28/2/2024,Customer_85,TCK101867,Billing,24,621,3730,Good
28/2/2024,Customer_188,TCK103823,Complaint,159,1277,3512,Good
28/2/2024,Customer_533,TCK104253,Account,53,360,2395,Good
28/2/2024,Customer_401,TCK104340,Service Request,38,486,1345,Good
28/2/2024,Customer_191,TCK101981,Billing,232,235,1899,Bad
28/2/2024,Customer_646,TCK103415,General Inquiry,223,239,3246,Good
28/2/2024,Customer_236,TCK103646,Complaint,59,1222,1584,Good
28/2/2024,Customer_93,TCK100032,Billing,8,779,4179,Good
28/2/2024,Customer_688,TCK101283,Service Request,175,767,3719,Good
29/2/2024,Customer_387,TCK102725,Billing,81,1284,295,Good
29/2/2024,Customer_569,TCK102390,Account,44,1271,2133,Good
29/2/2024,Customer_415,TCK102184,Technical,184,1339,1022,Good
29/2/2024,Customer_195,TCK101733,Billing,178,1115,4188,Good
1/3/2024,Customer_717,TCK100828,Technical,72,428,3268,Bad
1/3/2024,Customer_211,TCK104500,Technical,84,508,2729,Good
1/3/2024,Customer_26,TCK104410,Account,226,864,1515,Good
1/3/2024,Customer_291,TCK101378,Billing,38,385,1528,Good
1/3/2024,Customer_429,TCK101507,General Inquiry,23,1130,1280,Good
2/3/2024,Customer_349,TCK100552,Complaint,215,1421,790,Good
2/3/2024,Customer_217,TCK101546,General Inquiry,206,699,3446,Good
2/3/2024,Customer_54,TCK101515,Account,173,1109,1909,Good
2/3/2024,Customer_325,TCK103139,Technical,70,1195,3846,Good
3/3/2024,Customer_517,TCK101170,Billing,1,1430,4240,Good
3/3/2024,Customer_469,TCK103105,Service Request,214,613,2673,Good
3/3/2024,Customer_434,TCK102427,Complaint,98,75,3294,Good
3/3/2024,Customer_749,TCK100729,Service Request,206,50,3411,Good
3/3/2024,Customer_541,TCK104461,General Inquiry,199,338,2151,Bad
3/3/2024,Customer_490,TCK101183,Complaint,215,435,1088,Bad
3/3/2024,Customer_317,TCK100103,Service Request,156,377,1273,Good
3/3/2024,Customer_235,TCK103344,Billing,212,757,2865,Good
4/3/2024,Customer_84,TCK103465,Service Request,168,352,2935,Bad
4/3/2024,Customer_134,TCK101765,Technical,6,582,2584,Good
5/3/2024,Customer_184,TCK100723,Complaint,13,388,3552,Bad
5/3/2024,Customer_578,TCK103747,Billing,52,315,2876,Good
5/3/2024,Customer_97,TCK102452,Account,116,1133,3231,Good
5/3/2024,Customer_256,TCK100097,Technical,218,1167,2285,Good
5/3/2024,Customer_725,TCK103160,Service Request,92,210,4037,Bad
5/3/2024,Customer_605,TCK104345,Service Request,129,201,3915,Good
5/3/2024,Customer_543,TCK104188,Service Request,37,1204,2462,Good
5/3/2024,Customer_681,TCK103551,Account,20,673,3962,Good
5/3/2024,Customer_15,TCK102075,Complaint,45,1109,3809,Bad
6/3/2024,Customer_425,TCK103041,Complaint,2,1428,4158,Bad
6/3/2024,Customer_64,TCK103587,Complaint,10,257,3013,Good
6/3/2024,Customer_639,TCK102923,Account,209,839,778,Good
6/3/2024,Customer_225,TCK101929,Billing,25,24,1288,Good
