date,year,month,submitter,ticket_id,ticket_category,first_response_time_minutes,first_resolution_time_minutes,full_resolution_time_minutes,satisfaction_score,isfcr
10/1/2024,2024,January,Customer_288,TCK100988,Service Request,16,767,1130,Good,FALSE
10/1/2024,2024,January,Customer_403,TCK104141,Service Request,172,89,2818,Good,FALSE
10/1/2024,2024,January,Customer_740,TCK102497,General Inquiry,185,1349,1200,Good,FALSE
10/1/2024,2024,January,Customer_415,TCK103629,Technical,209,954,852,Good,FALSE
11/1/2024,2024,January,Customer_599,TCK101345,Service Request,138,806,1948,Good,FALSE
11/1/2024,2024,January,Customer_441,TCK101777,Account,85,560,738,Good,FALSE
11/1/2024,2024,January,Customer_538,TCK101514,Billing,81,221,2644,Bad,FALSE
11/1/2024,2024,January,Customer_675,TCK104568,Complaint,134,367,1878,Good,FALSE
11/1/2024,2024,January,Customer_72,TCK101098,Account,63,104,1123,Good,FALSE
12/1/2024,2024,January,Customer_115,TCK104241,Technical,69,986,2634,Good,FALSE
12/1/2024,2024,January,Customer_422,TCK102280,Complaint,99,410,1149,Bad,FALSE
12/1/2024,2024,January,Customer_730,TCK101399,Complaint,80,784,1237,Good,FALSE
12/1/2024,2024,January,Customer_158,TCK102376,Complaint,198,269,3170,Good,FALSE
12/1/2024,2024,January,Customer_380,TCK102679,Service Request,219,1409,901,Good,FALSE
12/1/2024,2024,January,Customer_296,TCK102332,Technical,204,362,3441,Good,FALSE
12/1/2024,2024,January,Customer_610,TCK101845,Billing,206,959,1781,Good,FALSE
12/1/2024,2024,January,Customer_261,TCK103649,Technical,79,474,117,Good,FALSE
12/1/2024,2024,January,Customer_119,TCK100686,Technical,214,1423,1575,Good,FALSE
12/1/2024,2024,January,Customer_554,TCK102097,Complaint,103,97,3734,Bad,FALSE
12/1/2024,2024,January,Customer_137,TCK101985,Technical,38,730,1855,Good,FALSE
12/1/2024,2024,January,Customer_259,TCK103804,Billing,30,205,3797,Good,FALSE
12/1/2024,2024,January,Customer_188,TCK100511,Service Request,65,593,3284,Good,FALSE
13/1/2024,2024,January,Customer_220,TCK103723,Service Request,142,925,2085,Good,FALSE
13/1/2024,2024,January,Customer_424,TCK100992,Account,79,162,1661,Bad,FALSE
13/1/2024,2024,January,Customer_84,TCK103699,Technical,213,444,2900,Good,FALSE
13/1/2024,2024,January,Customer_457,TCK102671,Service Request,128,852,54,Bad,FALSE
13/1/2024,2024,January,Customer_764,TCK103517,Account,136,442,1205,Bad,FALSE
13/1/2024,2024,January,Customer_548,TCK102453,Account,64,1436,1413,Good,FALSE
13/1/2024,2024,January,Customer_102,TCK103598,Service Request,101,831,1658,Good,FALSE
14/1/2024,2024,January,Customer_49,TCK103636,Account,217,1360,1955,Good,FALSE
14/1/2024,2024,January,Customer_232,TCK100052,Account,50,701,3856,Good,FALSE
14/1/2024,2024,January,Customer_596,TCK102681,Complaint,97,934,3342,Good,FALSE
14/1/2024,2024,January,Customer_611,TCK101844,Complaint,158,1403,2329,Good,FALSE
14/1/2024,2024,January,Customer_550,TCK101922,Billing,152,1327,482,Bad,FALSE
15/1/2024,2024,January,Customer_48,TCK101058,Service Request,231,1023,2810,Good,FALSE
15/1/2024,2024,January,Customer_656,TCK101082,Billing,209,96,1564,Good,FALSE
15/1/2024,2024,January,Customer_675,TCK100888,Technical,117,710,394,Bad,FALSE
15/1/2024,2024,January,Customer_541,TCK103892,General Inquiry,23,932,1684,Bad,FALSE
15/1/2024,2024,January,Customer_62,TCK100096,Technical,203,1048,3799,Good,FALSE
15/1/2024,2024,January,Customer_757,TCK100137,Complaint,111,906,3958,Good,FALSE
16/1/2024,2024,January,Customer_204,TCK101421,Account,53,625,2227,Bad,FALSE
16/1/2024,2024,January,Customer_82,TCK100489,Complaint,8,194,833,Good,FALSE
16/1/2024,2024,January,Customer_546,TCK103137,Technical,153,680,3708,Good,FALSE
16/1/2024,2024,January,Customer_411,TCK101461,Billing,15,215,57,Good,FALSE
16/1/2024,2024,January,Customer_671,TCK102976,Complaint,169,524,4055,Bad,FALSE
17/1/2024,2024,January,Customer_587,TCK101395,General Inquiry,220,1295,3404,Bad,FALSE
17/1/2024,2024,January,Customer_472,TCK104288,Complaint,149,287,1970,Good,FALSE
17/1/2024,2024,January,Customer_449,TCK103773,Complaint,129,868,2724,Bad,FALSE
17/1/2024,2024,January,Customer_580,TCK101668,Complaint,112,732,200,Bad,FALSE
17/1/2024,2024,January,Customer_800,TCK101375,Complaint,30,846,4305,Good,FALSE
17/1/2024,2024,January,Customer_199,TCK102523,Complaint,234,1163,1511,Good,FALSE
17/1/2024,2024,January,Customer_780,TCK100339,General Inquiry,175,780,3763,Bad,FALSE
17/1/2024,2024,January,Customer_246,TCK101642,General Inquiry,75,413,1662,Good,FALSE
17/1/2024,2024,January,Customer_270,TCK102487,Service Request,31,1089,1863,Bad,FALSE
17/1/2024,2024,January,Customer_150,TCK101313,General Inquiry,37,1118,2177,Good,FALSE
17/1/2024,2024,January,Customer_198,TCK104012,General Inquiry,226,783,848,Good,FALSE
18/1/2024,2024,January,Customer_680,TCK104551,Account,160,576,2992,Good,FALSE
18/1/2024,2024,January,Customer_302,TCK101203,Account,56,98,2294,Good,FALSE
18/1/2024,2024,January,Customer_439,TCK100364,Account,220,48,3779,Good,FALSE
19/1/2024,2024,January,Customer_87,TCK103542,Account,184,125,3809,Good,FALSE
19/1/2024,2024,January,Customer_20,TCK104258,Complaint,113,705,1052,Bad,FALSE
19/1/2024,2024,January,Customer_16,TCK101202,Technical,79,700,1262,Bad,FALSE
19/1/2024,2024,January,Customer_99,TCK102061,Billing,210,646,4097,Bad,FALSE
19/1/2024,2024,January,Customer_154,TCK102736,Service Request,37,109,746,Good,FALSE
19/1/2024,2024,January,Customer_570,TCK103939,Service Request,85,1093,3370,Good,FALSE
19/1/2024,2024,January,Customer_666,TCK102640,Complaint,78,678,422,Good,FALSE
19/1/2024,2024,January,Customer_287,TCK100558,Service Request,138,1100,2057,Bad,FALSE
19/1/2024,2024,January,Customer_100,TCK104586,General Inquiry,143,857,1106,Good,FALSE
19/1/2024,2024,January,Customer_529,TCK103252,Service Request,173,1413,2147,Good,FALSE
20/1/2024,2024,January,Customer_600,TCK101974,General Inquiry,7,457,484,Bad,FALSE
20/1/2024,2024,January,Customer_238,TCK102696,Technical,214,664,4164,Good,FALSE
20/1/2024,2024,January,Customer_173,TCK103479,Complaint,183,675,2256,Good,FALSE
20/1/2024,2024,January,Customer_734,TCK102706,Complaint,181,651,2804,Bad,FALSE
20/1/2024,2024,January,Customer_276,TCK100389,General Inquiry,102,803,750,Bad,FALSE
20/1/2024,2024,January,Customer_244,TCK101541,General Inquiry,239,633,1433,Good,FALSE
20/1/2024,2024,January,Customer_268,TCK102686,Technical,221,1189,2144,Good,FALSE
20/1/2024,2024,January,Customer_280,TCK104320,Account,205,1109,1621,Good,FALSE
21/1/2024,2024,January,Customer_287,TCK102481,Complaint,2,1081,1603,Bad,FALSE
21/1/2024,2024,January,Customer_325,TCK100005,General Inquiry,101,327,943,Good,FALSE
21/1/2024,2024,January,Customer_746,TCK102846,Account,14,1301,1047,Good,FALSE
21/1/2024,2024,January,Customer_429,TCK100046,Service Request,118,79,900,Good,FALSE
21/1/2024,2024,January,Customer_439,TCK104483,Technical,75,933,1291,Good,FALSE
21/1/2024,2024,January,Customer_396,TCK101715,Technical,84,1269,1072,Good,FALSE
21/1/2024,2024,January,Customer_177,TCK101906,Billing,102,676,1905,Good,FALSE
21/1/2024,2024,January,Customer_134,TCK102108,General Inquiry,11,982,1048,Bad,FALSE
22/1/2024,2024,January,Customer_605,TCK101672,Service Request,48,1284,3784,Good,FALSE
22/1/2024,2024,January,Customer_218,TCK103641,Service Request,115,561,3111,Bad,FALSE
22/1/2024,2024,January,Customer_387,TCK101708,Technical,77,978,3091,Good,FALSE
22/1/2024,2024,January,Customer_790,TCK103524,Service Request,5,651,1663,Bad,FALSE
22/1/2024,2024,January,Customer_253,TCK101839,Technical,217,177,2131,Bad,FALSE
22/1/2024,2024,January,Customer_25,TCK100028,Technical,235,1228,905,Good,FALSE
22/1/2024,2024,January,Customer_218,TCK102884,Complaint,189,960,2702,Good,FALSE
22/1/2024,2024,January,Customer_52,TCK104127,Service Request,31,382,3816,Good,FALSE
22/1/2024,2024,January,Customer_458,TCK100318,Complaint,23,598,866,Good,FALSE
22/1/2024,2024,January,Customer_700,TCK104312,Complaint,191,1186,2493,Good,FALSE
22/1/2024,2024,January,Customer_158,TCK104227,Technical,157,1381,486,Good,FALSE
23/1/2024,2024,January,Customer_797,TCK103696,Technical,115,251,532,Good,FALSE
23/1/2024,2024,January,Customer_281,TCK101040,Account,200,370,1716,Bad,FALSE
23/1/2024,2024,January,Customer_283,TCK100744,Billing,3,785,3735,Bad,FALSE
23/1/2024,2024,January,Customer_90,TCK102641,Account,193,835,3614,Bad,FALSE
23/1/2024,2024,January,Customer_271,TCK100479,Service Request,170,865,441,Bad,FALSE
23/1/2024,2024,January,Customer_141,TCK101103,Account,140,513,2353,Good,FALSE
23/1/2024,2024,January,Customer_258,TCK103625,Complaint,49,1209,3349,Good,FALSE
23/1/2024,2024,January,Customer_718,TCK103345,Technical,152,536,1343,Good,FALSE
24/1/2024,2024,January,Customer_491,TCK101878,Billing,95,1341,4183,Good,FALSE
25/1/2024,2024,January,Customer_335,TCK101163,Billing,186,978,3360,Good,FALSE
25/1/2024,2024,January,Customer_797,TCK101381,General Inquiry,108,312,2620,Bad,FALSE
25/1/2024,2024,January,Customer_612,TCK103858,Service Request,142,53,2392,Good,FALSE
25/1/2024,2024,January,Customer_375,TCK103553,Billing,162,1000,3154,Bad,FALSE
25/1/2024,2024,January,Customer_388,TCK100904,Technical,58,766,3085,Good,FALSE
25/1/2024,2024,January,Customer_750,TCK104356,Technical,111,806,3090,Bad,FALSE
25/1/2024,2024,January,Customer_273,TCK100576,General Inquiry,132,942,2246,Good,FALSE
25/1/2024,2024,January,Customer_459,TCK102367,General Inquiry,21,903,2271,Good,FALSE
26/1/2024,2024,January,Customer_21,TCK103857,Technical,49,1171,3246,Good,FALSE
26/1/2024,2024,January,Customer_485,TCK102921,General Inquiry,18,177,3600,Good,FALSE
26/1/2024,2024,January,Customer_383,TCK102166,Billing,73,450,465,Bad,FALSE
26/1/2024,2024,January,Customer_678,TCK100859,Technical,1,326,2362,Good,FALSE
26/1/2024,2024,January,Customer_103,TCK100964,Billing,215,1156,2592,Good,FALSE
26/1/2024,2024,January,Customer_575,TCK103173,Service Request,62,525,3898,Good,FALSE
27/1/2024,2024,January,Customer_754,TCK100326,Service Request,188,182,2480,Bad,FALSE
27/1/2024,2024,January,Customer_611,TCK103608,Complaint,62,105,2803,Good,FALSE
27/1/2024,2024,January,Customer_614,TCK101740,Account,37,943,3547,Good,FALSE
27/1/2024,2024,January,Customer_356,TCK101321,General Inquiry,102,887,4274,Good,FALSE
28/1/2024,2024,January,Customer_314,TCK100115,Account,167,1122,1435,Bad,FALSE
28/1/2024,2024,January,Customer_590,TCK100872,Complaint,66,590,3277,Bad,FALSE
28/1/2024,2024,January,Customer_355,TCK101928,Complaint,111,61,2094,Good,FALSE
28/1/2024,2024,January,Customer_570,TCK100892,General Inquiry,159,33,248,Good,FALSE
28/1/2024,2024,January,Customer_402,TCK102870,General Inquiry,115,423,1342,Good,FALSE
28/1/2024,2024,January,Customer_514,TCK100162,Account,7,750,37,Good,FALSE
28/1/2024,2024,January,Customer_67,TCK103741,Service Request,27,481,2565,Good,FALSE
29/1/2024,2024,January,Customer_412,TCK101687,General Inquiry,51,42,4031,Good,FALSE
29/1/2024,2024,January,Customer_661,TCK100611,Billing,163,1217,1498,Bad,FALSE
29/1/2024,2024,January,Customer_156,TCK101302,Billing,185,1355,1154,Bad,FALSE
29/1/2024,2024,January,Customer_263,TCK101476,Account,39,168,2295,Good,FALSE
29/1/2024,2024,January,Customer_124,TCK101124,Technical,206,456,688,Good,FALSE
29/1/2024,2024,January,Customer_710,TCK101342,Service Request,21,401,1681,Good,FALSE
29/1/2024,2024,January,Customer_226,TCK102495,Account,1,1006,1661,Bad,FALSE
29/1/2024,2024,January,Customer_606,TCK104278,General Inquiry,27,1215,4033,Bad,FALSE
30/1/2024,2024,January,Customer_199,TCK102643,General Inquiry,189,288,2496,Bad,FALSE
30/1/2024,2024,January,Customer_701,TCK103642,General Inquiry,8,982,3915,Bad,FALSE
30/1/2024,2024,January,Customer_158,TCK103336,General Inquiry,8,65,2854,Good,FALSE
31/1/2024,2024,January,Customer_554,TCK103727,General Inquiry,49,1361,103,Good,FALSE
31/1/2024,2024,January,Customer_674,TCK103381,Complaint,120,287,3704,Good,FALSE
31/1/2024,2024,January,Customer_509,TCK103622,Complaint,46,272,3028,Good,FALSE
31/1/2024,2024,January,Customer_599,TCK101620,Billing,177,1014,2157,Good,FALSE
1/2/2024,2024,February,Customer_181,TCK101193,Complaint,81,475,4177,Bad,FALSE
1/2/2024,2024,February,Customer_5,TCK102903,Account,162,88,2847,Bad,FALSE
1/2/2024,2024,February,Customer_131,TCK104134,Billing,232,65,2832,Bad,FALSE
2/2/2024,2024,February,Customer_355,TCK100118,General Inquiry,38,459,3482,Bad,FALSE
2/2/2024,2024,February,Customer_58,TCK104254,Billing,109,204,526,Good,FALSE
2/2/2024,2024,February,Customer_343,TCK100313,General Inquiry,115,386,2859,Good,FALSE
2/2/2024,2024,February,Customer_178,TCK103800,Technical,129,562,4025,Good,FALSE
2/2/2024,2024,February,Customer_224,TCK101688,General Inquiry,106,266,4229,Good,FALSE
3/2/2024,2024,February,Customer_332,TCK101312,Technical,114,513,3480,Good,FALSE
3/2/2024,2024,February,Customer_87,TCK100761,Service Request,155,1386,152,Bad,FALSE
3/2/2024,2024,February,Customer_491,TCK100915,Complaint,200,790,1924,Good,FALSE
4/2/2024,2024,February,Customer_743,TCK103156,General Inquiry,39,1090,1398,Good,FALSE
4/2/2024,2024,February,Customer_376,TCK103408,Account,6,983,3777,Good,FALSE
4/2/2024,2024,February,Customer_297,TCK103143,Service Request,8,198,517,Good,FALSE
4/2/2024,2024,February,Customer_551,TCK100516,Complaint,106,1008,2297,Good,FALSE
4/2/2024,2024,February,Customer_646,TCK101870,Billing,198,947,2617,Good,FALSE
4/2/2024,2024,February,Customer_479,TCK101978,Service Request,147,802,1014,Bad,FALSE
4/2/2024,2024,February,Customer_716,TCK100062,General Inquiry,91,484,3062,Good,FALSE
5/2/2024,2024,February,Customer_386,TCK100151,Billing,100,1139,3989,Bad,FALSE
5/2/2024,2024,February,Customer_209,TCK102233,General Inquiry,54,1245,1525,Bad,FALSE
5/2/2024,2024,February,Customer_734,TCK100387,Complaint,178,362,4006,Good,FALSE
5/2/2024,2024,February,Customer_1,TCK102152,Complaint,226,1005,176,Good,FALSE
6/2/2024,2024,February,Customer_748,TCK101660,Account,36,511,2373,Good,FALSE
6/2/2024,2024,February,Customer_68,TCK100272,Service Request,126,978,2083,Bad,FALSE
6/2/2024,2024,February,Customer_611,TCK100545,Billing,168,508,3201,Bad,FALSE
6/2/2024,2024,February,Customer_756,TCK101580,Billing,93,655,2628,Good,FALSE
6/2/2024,2024,February,Customer_90,TCK100348,Technical,182,170,1228,Good,FALSE
7/2/2024,2024,February,Customer_413,TCK104479,General Inquiry,156,1235,3518,Bad,FALSE
7/2/2024,2024,February,Customer_457,TCK101574,Technical,182,492,2723,Good,FALSE
7/2/2024,2024,February,Customer_180,TCK102703,Complaint,145,672,998,Good,FALSE
7/2/2024,2024,February,Customer_246,TCK104107,Complaint,171,530,56,Good,FALSE
7/2/2024,2024,February,Customer_260,TCK100320,Technical,22,1439,3642,Good,FALSE
8/2/2024,2024,February,Customer_326,TCK101382,Complaint,65,414,1978,Bad,FALSE
8/2/2024,2024,February,Customer_29,TCK103962,Technical,84,869,1352,Good,FALSE
8/2/2024,2024,February,Customer_379,TCK102145,Service Request,179,1145,1663,Good,FALSE
8/2/2024,2024,February,Customer_551,TCK101453,Account,225,1184,1153,Bad,FALSE
8/2/2024,2024,February,Customer_494,TCK101049,Complaint,6,254,950,Bad,FALSE
8/2/2024,2024,February,Customer_217,TCK100894,Technical,40,324,3463,Bad,FALSE
8/2/2024,2024,February,Customer_686,TCK102597,Technical,156,761,2318,Good,FALSE
8/2/2024,2024,February,Customer_465,TCK100380,General Inquiry,209,147,836,Good,FALSE
8/2/2024,2024,February,Customer_753,TCK104519,General Inquiry,213,445,1882,Good,FALSE
8/2/2024,2024,February,Customer_66,TCK104397,Complaint,52,585,1260,Good,FALSE
8/2/2024,2024,February,Customer_328,TCK100583,Complaint,45,1114,208,Bad,FALSE
8/2/2024,2024,February,Customer_53,TCK101701,Service Request,49,455,3564,Good,FALSE
8/2/2024,2024,February,Customer_79,TCK101996,Billing,97,1396,1034,Good,FALSE
8/2/2024,2024,February,Customer_720,TCK100635,Technical,205,977,2157,Bad,FALSE
8/2/2024,2024,February,Customer_376,TCK101475,Complaint,40,830,403,Good,FALSE
9/2/2024,2024,February,Customer_31,TCK101594,Billing,15,56,825,Good,FALSE
9/2/2024,2024,February,Customer_260,TCK101595,Billing,53,829,1600,Good,FALSE
9/2/2024,2024,February,Customer_730,TCK101568,Complaint,184,658,3659,Good,FALSE
9/2/2024,2024,February,Customer_496,TCK102962,Technical,179,431,4167,Good,FALSE
9/2/2024,2024,February,Customer_412,TCK104074,Service Request,178,583,2847,Good,FALSE
9/2/2024,2024,February,Customer_658,TCK101585,Technical,178,62,1279,Good,FALSE
9/2/2024,2024,February,Customer_284,TCK100946,Complaint,25,1231,2766,Bad,FALSE
10/2/2024,2024,February,Customer_420,TCK103126,Billing,64,1000,2893,Good,FALSE
10/2/2024,2024,February,Customer_288,TCK104392,Account,124,409,1917,Bad,FALSE
10/2/2024,2024,February,Customer_699,TCK104028,Service Request,77,394,1583,Bad,FALSE
10/2/2024,2024,February,Customer_194,TCK103343,Billing,144,1234,4008,Good,FALSE
10/2/2024,2024,February,Customer_414,TCK100094,General Inquiry,51,305,2711,Good,FALSE
10/2/2024,2024,February,Customer_215,TCK103027,Service Request,227,1058,3731,Good,FALSE
10/2/2024,2024,February,Customer_314,TCK101311,Complaint,36,536,3390,Bad,FALSE
10/2/2024,2024,February,Customer_288,TCK103288,Account,196,345,897,Good,FALSE
10/2/2024,2024,February,Customer_228,TCK100702,Billing,26,167,655,Good,FALSE
10/2/2024,2024,February,Customer_703,TCK103239,Technical,162,907,747,Good,FALSE
10/2/2024,2024,February,Customer_480,TCK100114,Account,155,385,3378,Bad,FALSE
11/2/2024,2024,February,Customer_791,TCK101030,General Inquiry,154,621,2936,Good,FALSE
11/2/2024,2024,February,Customer_201,TCK101380,General Inquiry,81,1279,3143,Good,FALSE
11/2/2024,2024,February,Customer_506,TCK102335,General Inquiry,34,82,1419,Good,FALSE
11/2/2024,2024,February,Customer_474,TCK100586,General Inquiry,119,502,141,Bad,FALSE
11/2/2024,2024,February,Customer_674,TCK101309,Complaint,183,1355,2960,Good,FALSE
12/2/2024,2024,February,Customer_228,TCK104390,Technical,174,1389,2595,Good,FALSE
12/2/2024,2024,February,Customer_56,TCK100813,Complaint,63,1138,2364,Bad,FALSE
12/2/2024,2024,February,Customer_440,TCK102387,Technical,45,1115,1553,Good,FALSE
12/2/2024,2024,February,Customer_187,TCK102516,Complaint,7,665,4311,Good,FALSE
12/2/2024,2024,February,Customer_488,TCK100507,General Inquiry,129,1378,3564,Good,FALSE
12/2/2024,2024,February,Customer_622,TCK102871,Complaint,197,18,2055,Good,FALSE
12/2/2024,2024,February,Customer_155,TCK102102,Service Request,228,827,1064,Bad,FALSE
12/2/2024,2024,February,Customer_768,TCK104195,Service Request,111,40,3335,Good,FALSE
13/2/2024,2024,February,Customer_209,TCK103760,Technical,105,1070,2063,Good,FALSE
13/2/2024,2024,February,Customer_608,TCK101394,Account,39,645,2728,Bad,FALSE
13/2/2024,2024,February,Customer_88,TCK102925,Account,76,996,560,Good,FALSE
13/2/2024,2024,February,Customer_144,TCK102629,Technical,56,37,2576,Bad,FALSE
13/2/2024,2024,February,Customer_62,TCK103969,Technical,65,560,1537,Bad,FALSE
14/2/2024,2024,February,Customer_416,TCK104542,Account,168,236,38,Bad,FALSE
14/2/2024,2024,February,Customer_333,TCK103821,Billing,79,788,1371,Bad,FALSE
14/2/2024,2024,February,Customer_182,TCK103581,General Inquiry,147,1368,815,Good,FALSE
15/2/2024,2024,February,Customer_524,TCK101638,Service Request,15,1394,4060,Bad,FALSE
15/2/2024,2024,February,Customer_596,TCK104369,Billing,79,255,1013,Good,FALSE
15/2/2024,2024,February,Customer_68,TCK101789,Billing,238,1167,4159,Good,FALSE
15/2/2024,2024,February,Customer_588,TCK100843,Billing,105,669,4261,Good,FALSE
15/2/2024,2024,February,Customer_166,TCK100344,Service Request,73,468,2110,Bad,FALSE
16/2/2024,2024,February,Customer_439,TCK100466,Billing,19,1153,4053,Good,FALSE
16/2/2024,2024,February,Customer_567,TCK104403,Complaint,205,1322,1080,Good,FALSE
16/2/2024,2024,February,Customer_522,TCK102755,Service Request,157,383,337,Good,FALSE
16/2/2024,2024,February,Customer_149,TCK100674,General Inquiry,181,102,2892,Bad,FALSE
16/2/2024,2024,February,Customer_207,TCK103045,Service Request,106,662,3638,Bad,FALSE
16/2/2024,2024,February,Customer_385,TCK100849,Billing,227,1107,664,Good,FALSE
16/2/2024,2024,February,Customer_239,TCK101087,Billing,214,1431,1287,Good,FALSE
16/2/2024,2024,February,Customer_695,TCK104123,Billing,228,1077,2016,Good,FALSE
16/2/2024,2024,February,Customer_60,TCK100423,Billing,44,518,1246,Good,FALSE
16/2/2024,2024,February,Customer_475,TCK101419,Service Request,146,1316,3086,Good,FALSE
16/2/2024,2024,February,Customer_507,TCK101536,Complaint,39,28,1818,Good,FALSE
17/2/2024,2024,February,Customer_335,TCK100856,Account,211,392,3320,Good,FALSE
17/2/2024,2024,February,Customer_485,TCK100119,General Inquiry,85,903,3926,Good,FALSE
17/2/2024,2024,February,Customer_326,TCK103508,Account,86,959,3758,Good,FALSE
18/2/2024,2024,February,Customer_103,TCK103755,Service Request,113,1003,812,Good,FALSE
18/2/2024,2024,February,Customer_73,TCK103871,Service Request,18,370,1735,Bad,FALSE
18/2/2024,2024,February,Customer_43,TCK100337,Account,45,1236,3704,Good,FALSE
18/2/2024,2024,February,Customer_446,TCK102176,Complaint,96,1030,4205,Bad,FALSE
18/2/2024,2024,February,Customer_639,TCK103219,Service Request,172,1057,2618,Bad,FALSE
